Date,Open,High,Low,Close,Volume,Adj Close
2005-04-05,2154.98,2163.11,2151.92,2157.81,112223600,2157.81
2005-04-04,2139.49,2157.80,2139.49,2157.80,112479600,2157.80
2005-04-01,2141.38,2152.01,2140.12,2143.75,114016600,2143.75
2005-03-31,2139.18,2148.76,2137.01,2141.43,171623600,2141.43
2005-03-30,2120.69,2134.04,2114.96,2123.16,158320200,2123.16
2005-03-29,2151.26,2155.66,2124.53,2127.71,136927000,2127.71
2005-03-28,2152.34,2155.52,2144.12,2144.36,54400000,2144.36
2005-03-24,2142.23,2155.12,2142.23,2151.45,136223200,2151.45
2005-03-23,2162.03,2164.41,2129.56,2145.10,332877000,2145.10
2005-03-22,2182.19,2182.19,2170.07,2176.41,138823000,2176.41
2005-03-21,2178.94,2185.66,2170.69,2177.52,114315000,2177.52
2005-03-18,2166.53,2191.29,2166.53,2174.49,168608000,2174.49
2005-03-17,2159.36,2172.73,2158.09,2159.89,154106400,2159.89
2005-03-16,2161.54,2170.25,2159.25,2169.64,101724800,2169.64
2005-03-15,2171.44,2175.95,2161.79,2163.93,110534600,2163.93
2005-03-14,2164.62,2174.77,2159.22,2168.97,136022800,2168.97
2005-03-11,2169.65,2179.09,2168.28,2169.41,132517800,2169.41
2005-03-10,2177.41,2179.13,2162.91,2170.20,125667000,2170.20
2005-03-09,2163.59,2184.29,2162.53,2184.29,158374800,2184.29
2005-03-08,2173.58,2174.90,2156.54,2160.63,144766800,2160.63
2005-03-07,2172.61,2178.43,2166.12,2166.12,153922400,2166.12
2005-03-04,2146.23,2167.89,2144.94,2154.55,186728000,2154.55
2005-03-03,2143.66,2149.94,2137.17,2147.53,161792800,2147.53
2005-03-02,2131.91,2146.43,2129.44,2144.36,123432200,2144.36
2005-03-01,2120.94,2136.44,2119.59,2125.11,146126200,2125.11
2005-02-28,2144.29,2144.29,2119.40,2119.40,130361600,2119.40
2005-02-25,2149.84,2152.43,2133.05,2135.08,192082000,2135.08
2005-02-24,2134.89,2157.61,2134.62,2152.59,144954400,2152.59
2005-02-23,2138.13,2142.04,2130.90,2136.42,110810800,2136.42
2005-02-22,2167.19,2167.19,2140.42,2146.73,150148400,2146.73
2005-02-21,2166.93,2171.31,2156.61,2166.38,159641400,2166.38
2005-02-18,2156.81,2172.93,2156.81,2168.86,179134800,2168.86
2005-02-17,2161.55,2167.70,2158.00,2164.20,142744800,2164.20
2005-02-16,2160.74,2165.18,2147.96,2155.10,229169800,2155.10
2005-02-15,2171.79,2172.23,2157.31,2163.39,157092200,2163.39
2005-02-14,2156.95,2171.33,2156.43,2164.93,137683600,2164.93
2005-02-11,2142.90,2154.75,2142.66,2149.60,107287400,2149.60
2005-02-08,2124.41,2140.16,2124.41,2140.16,51662300,2140.16
2005-02-07,2121.83,2131.14,2118.10,2118.10,91277800,2118.10
2005-02-04,2105.60,2117.36,2102.14,2113.58,84929200,2113.58
2005-02-03,2112.41,2112.76,2103.84,2108.16,113729400,2108.16
2005-02-02,2102.00,2112.25,2100.26,2108.69,198568800,2108.69
2005-02-01,2097.66,2104.22,2089.55,2094.65,180321600,2094.65
2005-01-31,2089.39,2101.65,2086.46,2096.32,183798400,2096.32
